name,voicetype,vowel,stress,pre_word,word,fol_word,F1,F2,F3,F1_LobanovNormed_unscaled,F2_LobanovNormed_unscaled,B1,B2,B3,t,beg,end,dur,plt_vclass,plt_manner,plt_place,plt_voice,plt_preseg,plt_folseq,pre_seg,fol_seg,context,vowel_index,pre_word_trans,word_trans,fol_word_trans,F1@20%,F2@20%,F1@35%,F2@35%,F1@50%,F2@50%,F1@65%,F2@65%,F1@80%,F2@80%,nFormants
P01,Low,EY,1,,OK,,541.2,1589.8,2527.2,0.319780233908,0.627541806616,77.7,126.9,345.6,1.533,1.49,1.74,0.25,eyF,,,,velar,,K,SP,final,3,SIL,OW1 K EY1,SP,537.3,1586.2,539.7,1632.7,425.2,1746.4,259.0,2077.3,311.9,2198.6,4
P01,Low,IH,1,A,KITCHEN,,421.7,1739.3,2560.9,-1.1249735639,1.17716426442,43.5,106.5,608.9,3.2,3.17,3.26,0.09,i,affricate,palatal,voiceless,velar,one_fol_syll,K,CH,internal,2,AH0,K IH1 CH AH0 N,SP,404.0,1479.8,416.9,1732.8,439.7,1721.8,383.0,1583.7,312.1,1590.3,6
P01,Low,AO,1,,FOUR,PEOPLE,466.9,876.2,2598.1,-0.578506018619,-1.99594037324,61.5,76.9,732.5,5.053,5.03,5.1,0.07,owr,central,apical,voiced,oral_labial,,F,R,internal,2,SP,F AO1 R,P IY1 P AH0 L,458.4,864.3,463.7,870.9,472.7,878.8,474.8,867.5,473.7,867.7,5
P01,Low,IY,1,FOUR,PEOPLE,TWO,404.1,1927.0,2144.0,-1.33775738684,1.86722537031,104.0,115.8,1943.4,5.243,5.21,5.31,0.1,iy,stop,labial,voiceless,oral_labial,one_fol_syll,P,P,internal,2,F AO1 R,P IY1 P AH0 L,T UW1,380.9,1687.0,402.9,1911.0,385.0,1973.2,383.1,1930.6,345.5,1715.9,6
P01,Low,IH,1,TWO,KIDS,,436.8,1671.3,2642.1,-0.942414715807,0.927168765219,58.2,154.4,1217.5,5.993,5.96,6.06,0.1,i,stop,apical,voiced,velar,complex_coda,K,D,internal,2,T UW1,K IH1 D Z,SP,423.8,1748.6,435.6,1685.2,435.4,1649.5,422.7,1594.8,402.1,1527.0,5
P01,Low,IH,1,THE,SINK,IN,478.0,1475.6,2566.9,-0.444307130288,0.207696424133,52.2,111.3,178.6,7.323,7.293,7.383,0.09,i,nasal,velar,voiced,oral_apical,complex_coda,S,NG,internal,2,DH AH0,S IH1 NG K,IH0 N,445.9,1395.3,472.5,1452.2,480.2,1528.4,487.1,1634.6,502.0,1742.3,5
P01,Low,EH,1,A,SEPARATE,ROOM,510.9,1447.2,2411.2,-0.0465464612682,0.103286539172,90.7,140.9,1198.5,7.933,7.913,7.973,0.06,e,stop,labial,voiceless,oral_apical,two_fol_syl,S,P,internal,2,AH0,S EH1 P ER0 EY2 T,R UW1 M,510.5,1447.0,511.2,1447.7,500.4,1391.8,473.7,1183.2,470.7,1181.9,5
P01,Low,UW,1,SEPARATE,ROOM,,430.2,1225.0,1806.2,-1.02220864941,-0.713610518515,55.4,98.9,154.7,8.27,8.263,8.483,0.22,Tuw,nasal,labial,voiced,liquid,,R,M,internal,2,S EH1 P ER0 EY2 T,R UW1 M,SP,446.0,1271.8,437.0,1312.2,422.7,1339.5,441.5,1218.8,320.7,808.0,6
P01,Low,ER,1,ONE,PERSON,SAT,470.6,1254.5,2242.2,-0.533773055842,-0.605156588714,65.0,141.4,505.8,10.236,10.213,10.283,0.07,*hr,fricative,apical,voiceless,oral_labial,one_fol_syll,P,S,internal,2,W AH1 N,P ER1 S AH0 N,S AE1 T,468.5,1243.0,470.6,1249.7,475.5,1266.7,493.8,1302.2,495.5,1310.4,6
P01,Low,AE,1,PERSON,SAT,DOWN,632.9,1186.9,2283.0,1.42843231139,-0.853681526156,103.9,135.9,493.7,10.6,10.583,10.633,0.05,ae,stop,apical,voiceless,oral_apical,,S,T,internal,2,P ER1 S AH0 N,S AE1 T,D AW1 N,635.4,1198.5,635.4,1198.5,624.3,1171.4,610.3,1149.7,610.3,1149.7,5
