speaker	vowel	context	F1	F2	F3	gl.F1	gl.F2	gl.F3
P01	EY	OK	541.2	1589.8	2527.2	NA	NA	NA
P01	IH	KITCHEN	421.7	1739.3	2560.9	NA	NA	NA
P01	AO	FOUR	466.9	876.2	2598.1	NA	NA	NA
P01	IY	PEOPLE	404.1	1927	2144	NA	NA	NA
P01	IH	KIDS	436.8	1671.3	2642.1	NA	NA	NA
P01	IH	SINK	478	1475.6	2566.9	NA	NA	NA
P01	EH	SEPARATE	510.9	1447.2	2411.2	NA	NA	NA
P01	UW	ROOM	430.2	1225	1806.2	NA	NA	NA
P01	ER	PERSON	470.6	1254.5	2242.2	NA	NA	NA
P01	AE	SAT	632.9	1186.9	2283	NA	NA	NA
P01	AW	DOWN	600.8	1294.8	2499.7	NA	NA	NA
P01	AY	LIKE	577.2	1411.9	2453.3	NA	NA	NA
P01	AA	CARTON	602.2	1373.2	2223.4	NA	NA	NA
P01	IH	MILK	508	1601.4	2533.9	NA	NA	NA
P01	IH	INTO	405.7	1689.5	2427.9	NA	NA	NA
P01	AE	BAG	657.1	1160	2136.1	NA	NA	NA
P01	AH	UP	507.1	970	2257.9	NA	NA	NA
P01	AY	TIME	621.3	1179.1	2136.3	NA	NA	NA
P01	AA	CLOCK	556.2	985	2162.5	NA	NA	NA
P01	IH	FRIDGE	429.9	1550.9	2049.6	NA	NA	NA
P01	AO	DOOR	472.2	1154.7	2043	NA	NA	NA
P01	OW	OPEN	513.2	1266	2871.4	NA	NA	NA
P01	IY	CHEESE	381.5	2115	3469.1	NA	NA	NA
P01	EH	EGGS	597.1	1463.5	2545.1	NA	NA	NA
P01	IH	CHICKEN	433.9	1639.3	2954.9	NA	NA	NA
P01	AY	INSIDE	639.2	1232.1	2663.8	NA	NA	NA
P01	IH	KITCHEN	423.9	1834.9	2648	NA	NA	NA
P01	ER	WORKTOP	511.6	1157.9	2087.7	NA	NA	NA
P01	IH	FISH	514.8	1582.6	2512.7	NA	NA	NA
P01	EH	BREAD	606.4	1412.5	2781.4	NA	NA	NA
P01	UW	FRUIT	430.7	1280.2	1914.8	NA	NA	NA
P01	ER	CURTAINS	490.9	1449.6	2488.9	NA	NA	NA
P01	AE	PATTERN	671.4	1246.2	2111.4	NA	NA	NA
