"filename","Phoneme","medianF1Hz","medianF2Hz","medianF3Hz","medianF4Hz","meanF1Hz","meanF2Hz","meanF3Hz","meanF4Hz","medianF1Bark","medianF2Bark","medianF3Bark","medianF4Bark","meanF1Bark","meanF2Bark","meanF3Bark","meanF4Bark","StartMs","EndMs","midDistanceMedian"
"0000_gne_read","V",511.5,951,2366.6,2926,510.95,946.6611,2367.3833,2908.4111,5.0186,8.2286,14.1348,15.5253,5.0138,8.2017,14.137,15.4864,1459.9887,1499.9887,37.9828
"0000_gne_read","i:",410.8,1912.5,2420.5,3356.3,409.7222,1905.6333,2407.1611,3353.4833,4.1155,12.7106,14.2842,16.3958,4.1054,12.6865,14.2476,16.3905,3849.9887,3959.9887,39.557
"0000_gne_read","U",454.65,941.15,2464.5,3262,423.5722,953.4222,2490.3778,3252.3333,4.518,8.1673,14.4035,16.2173,4.2343,8.2436,14.4726,16.1986,5749.9887,5849.9887,31.2012
"0000_gne_read","V",587,944,2684.5,3211,585.5,943.6667,2670.25,3230.6944,5.6488,8.1851,14.9661,16.118,5.6367,8.183,14.9312,16.1566,7339.9887,7369.9887,108.2185
"0000_gne_read","i:",361.5,2024.1,2583,3508,335.5389,2028.5667,2600.9111,3504.6278,3.6448,13.0907,14.7133,16.67,3.3888,13.1054,14.7587,16.664,8249.9887,8349.9887,82.4963
"0000_gne_read","O:",537,982,2384,3263.5,536.3056,991.8056,2380.25,3245.8889,5.2357,8.4188,14.1834,16.2202,5.2299,8.4781,14.173,16.1861,8409.9887,8489.9887,61.3538
"0000_gne_read","V",506,944.5,2449.5,3170,501.4167,939.9167,2451.0833,3170.6389,4.9712,8.1882,14.3631,16.0368,4.9315,8.1596,14.3674,16.0381,8519.9887,8559.9887,39.4118
"0000_gne_read","U",447.75,1008.7667,2223.4,3039.4667,419.6093,1029.5481,2261.9056,3015.0037,4.4556,8.5799,13.719,15.7694,4.1976,8.7029,13.8336,15.7177,8729.9887,8839.9887,56.539
"0000_gne_read","{",596.75,1175.5,2614,3532,596.5556,1174.2778,2611.4722,3531.25,5.7275,9.5211,14.7917,16.712,5.7259,9.5145,14.7853,16.7107,8969.9887,9049.9887,224.134
"0000_gne_read","V",484,970.5,2288.3,3222.5,483.9278,976.3667,2292.75,3224.5333,4.7793,8.3487,13.9109,16.1406,4.7787,8.3846,13.9239,16.1445,9619.9887,9659.9887,6.7
